location_id,location_name,latitude,longitude
1,Global estimate,,
l3,"Great Abaco, Bahamas ",26.3871,-77.2474
l4,"San Salvador Island, Bahamas",24.0667,-74.5417
l5,"La Jolla, California",32.8347,-117.296
l6,"Salmedina reefs, Colombia",10.39,-75.7
l7,"Media Luna Reef, Puerto Rico",17.93488,-67.04885
l8,"San Cristobal Reef, Puerto Rico",17.93,-67.07
l9,Grand Cayman,19.3531,-81.2367
l10,"Parque Antonio Maceo, Cuba",23.1421,-82.3722
l11,"Playa del Salado, Cuba",23.0406,-82.6043
l12,"Boca de Calderas, Cuba",23.1842,-82.0553
l13,"El Morro, Santa Marta, Colombia",11.249,-74.2301
l14,"Gairaca, Santa Marta, Colombia",11.3251,-74.1141
l15,"Punta Betin, Santa Marta, Colombia",11.2497,-74.2218
l16,"Neguanje, Santa Marta, Colombia",11.3191,-74.0822
l18,"Punta Galeta, Panama",9.4244,-79.8759
l19,"Signy Island, Antartica",-70.7207,-45.1429
l20,"Shiribeshi seamount, Hokkaido, Japan",43.6001,139.5504
l21,"Dixon Entrance, Gulf of Alaska, NE Pacific",54.4122,-132.086
l22,"NE Channel, Canada ",41.9764,-65.6388
l23,Little Bahama banks,27.0167,-79.3667
l24,"Davidson Seamount, California",35.75,-122.7
l25,"Trondheimsfjorden, Norway",63.4953,10.2318
l26,New Zealand,-44.459,172.3461
l27,"Dixon Entrance 1, NE Pacific",54.3798,-132.861
l1308,"Dixon Entrance 2, NE Pacific",54.444,-133.142
l1309,"Dixon Entrance 3, NE Pacific",54.456,-133.155
l1310,"Dixon Entrance 4, NE Pacific",54.569,-133.023
l28,Olympic Coast National Marine Sanctuary,48.143,-125.182
l1311,Olympic Coast National Marine Sanctuary 2,48.1487,-125.238
l1312,Olympic Coast National Marine Sanctuary 3,48.135,-125.183
l29,Newfoundland and Labrador Site 1,65.131,-58.452
l30,Newfoundland and Labrador Site 2,44.8327,-54.4688
l31,Newfoundland and Labrador Site 3,61.6,-60.383
l32,Newfoundland and Labrador Site 4,44.133,-52.933
l35,Newfoundland and Labrador Site 7,60.498,-61.395
l36,Newfoundland and Labrador Site 8,60.176,-61.79
l37,Newfoundland and Labrador Site 9,61.488,-61.819
l38,Newfoundland and Labrador Site 10,61.202,-61.378
l39,Newfoundland and Labrador Site 11,60.323,-62.149
l40,Newfoundland and Labrador Site 12,62.161,-61.537
l41,Newfoundland and Labrador Site 13,61.35,-60.683
l42,"Banyuls sur-Mer, France",42.4777,3.1667
l44,California coast,35.8244,-121.4689
l45,"Cap Bear, Banyuls sur-Mer, France",42.5151,3.143
l46,"Cap Rederis, Banyuls sur-Mer, France",42.4653,3.1635
l47,"Coiba National Park, Panama",7.4405,-81.6717
l48,"Cannitello, Strait of Messina, Italy",38.2433,15.6735
l49,"Cape Elfola, Elba Island, Italy",42.8284,10.2591
l50,"La Montagna, Reggio Calabria, Italy",38.25,15.7217
l51,"Medes Islands, Spain ",42.0425,3.2194
l52,"Tinetto rock, La Spezia, Italy",44.0178,9.8503
l53,"Leghorn, Italy",43.5,10.3333
l54,"Girona Coast, Spain",42.0315,3.2083
l1313,"Tascons, Medes islands, Spain",42.0422,3.2263
l56,"Portofino, Italy",44.2971,9.2128
l57,"Riou Island, Marseille, France",43.1733,5.3917
l58,"Bay of Calvi, Corsica, France",42.5833,8.75
l59,"Maire island, Marseille, France",43.2104,5.3412
l60,English channel,50.4893,-0.9647
644,"San Blas Islands, Panama",9.5448,-91.7118
227,"Discovery bay, Jamaica",18.4647,-77.4078
l63,"Filicudi, Sicily, Italy",38.5544,14.5656
l64,"Cross Harbour Ridge, Little Bahama ",25.9485,-77.3397
l65,"Jarre, Marseille, France",43.1912,5.3575
l66,"Castelvielle, Marseille, France",43.2017,5.4898
l67,"Pharillons, Marseille, France",43.2045,5.3363
l68,"Imbuttu, Scandola NR, France",42.3735,8.5508
l69,"Palazzinu, Scandola NR, France",42.3747,8.55
l70,"Gargallu, Scandola NR, France",42.3702,8.5342
l71,"Mana, Kornati, Croatia",43.8002,15.2598
l72,"Balun, Kornati, Croatia",43.8023,15.253
l73,"Obrucan, Kornati, Croatia",43.8352,15.2187
l74,"Paski most, Pag, Croatia",44.3178,15.2563
l75,"Smokvica, Rogoznica, Croatia",43.5063,15.9387
l76,"Planka, Rogoznica, Croatia",43.4893,15.9682
l77,"Lefteris, Pelio, Greece",39.1385,23.3398
l78,"Ag. Vasso, Pelio, Greece",39.0847,23.1247
l79,"Ambelos, Chalkidiki, Greece",39.9555,23.9882
l80,"Nemesis, Chalkidiki, Greece",39.941,23.985
l81,"Spilia, Chalkidiki, Greece",39.9387,23.9552
l82,"Kalloni, Lesvos, Greece",39.076,26.0875
l83,"Palios, Lesvos, Greece",39.3224,26.435
l84,"Point Hutchinson, Chatham Strait, Alaska",56.3883,-134.6359
l85,"Middle Arm of Kelp Bay, Chatham Strait, Alaska",57.3336,-134.9622
l86,"Tenakee Inlet, Chatham Strait, Alaska",57.8036,-134.9458
l90,"Gulf of Alaska, NE Pacific",55.007,-134.435
l91,"Caials, Cap de Creus, Spain ",42.2842,3.3097
l92,Weddell Sea ,-62.7178,-55.4792
l93,"Ross Sea, Antarctic site 1",-72.2695,170.1633
l94,"Ross Sea, Antarctic site 2",-72.2717,170.415
l95,"Ross Sea, Antarctic site 3",-71.7187,-171.5028
l96,"Ross Sea, Antarctic site 4",-72.1283,172.1558
244,Hawaii,20.846946,-157.592354
l104,Florida straits,27,-79
l123,"Makapuu deep sea bed, Hawaii",21.3162,-157.6495
l129,East Florida,30.733,-79.433
l130,"Sabah, Indonesia, site 1",6.01,116.02
l131,"Sabah, Indonesia, site 2",4.56,118.73
l132,"John Brewer Reef, GBR",-18.57,147.04
86,"Heron Island, GBR",-23.44,151.91
l134,"Maria Island, Tasmania",-42.66,147.99
l138,Weddell Sea 2,-74.6,-29.7
l144,"North Tyrrhenian, Mediterranean Sea",42.6,10
l145,"Central Tyrrhenian, Mediterranean Sea",40.6433,13.6833
l146,Tyrrhenian Sea,41.82,11
l55,"Calafuria, Tyrrhenian Sea 2",43.5,10.3333
l149,"Grotte Pérès, Marseille, France",43.1878,5.3825
l150,"Ille plane, Marseille, France",43.1878,5.3825
l151,"Grotte sud, Riou island, France",43.1767,5.3753
l152,"Imperial du Milieu, Marseille, France",43.1713,5.3937
l153,"Pointe Caramasaigne, Marseille, France",43.1735,5.3986
l154,"Grand Conglue, Marseille, France",43.176,5.3999
l155,"Petit Conglue, Marseille, France",43.1789,5.3967
l156,"Marine Reserve Carry-le-Rouet, France",43.3266,5.161
l157,"Cap de Creus, Spain",42.3179,3.3219
l158,"Marseille, France",43.1767,5.3753
l159,"Pointe de La Revellata, Corsica, France",42.5831,8.7294
l160,"Baffin Bay, Canada",68.1349,-60.7235
l162,"Lagos-Portimão area, Portugal",37.0376,-8.6898
l163,"Riou Archipielago, Marseille, France",43.1778,5.3972
l164,"Arethoussa, Kavala Bay, Greece",35.1958,26.2946
l165,"Phidonissi, Kavala Bay, Greece",35.1958,26.2946
l166,"Sanremo, Ligurian Sea",43.8035,7.7552
l168,"Les Gorêts, Île Longue, Gulf of Morbihan",47.5678,-2.9092
l169,"Leidashi, Taiwan",21.9315,120.7447
l170,"Xiashuijui, Taiwan",22.0367,120.6912
l171,"Cap Tabarka, Tabarka, Tunisia",37.1069,8.81
l172,"Rocher Mérou, Tabarka, Tunisia",37.1461,8.8719
l173,"Point Mistral, La Galite, Tunisia",37.7539,8.9072
l174,"Les chiens, La Galite, Tunisia",37.5889,8.9931
l175,"Gallo, La Galite, Tunisia",37.7014,9.1086
l176,"Gallina, La Galite, Tunisia",37.6756,9.7706
l177,"Kobet Hwé, La Marsa, Tunisia",37.4678,10.5825
l178,"Sidi Abdelaziz, La Marsa, Tunisia",37.4794,10.605
l179,"Capo Grosso, Zembra, Tunisia",37.2142,10.8325
l180,"La Cathédrale, Zembra, Tunisia",37.1553,10.8708
l181,"Ras Drak, Haouaria, Tunisia",37.2019,11.2472
l182,"Banc Madyouna 1, Haouaria, Tunisia",37.1564,11.2719
l183,"Banc Madyouna 2, Haouaria, Tunisia",37.15,11.2797
l184,"Gulf of Maine, Northeast Channel Coral Conservation Area",41.9764,-65.6388
l185,"Silaqui Island, Philippines",16.4394,119.9438
l186,Federated States of Micronesia,7.4221,151.7193
l187,"Lucero, Bolinao, Philippines",16.2441,119.542
l188,"Shimoda, Japan",34.65,138.9333
l189,"Gulf of St. Lawrence, Canada",48.7253,-63.1301
l190,"St. Teresa, Florida",29.9252,-84.4498
l192,"Monterey Bay, California",36.5808,-121.9948
l193,"Pribilof canyon, Bering Sea",56.28,-169.43
l194,"NW of Pribilof canyon, Bering Sea",60.01,-177.94
l195," NW Atlantic, Trawl survey 1",56.4,-57.817
l196," NW Atlantic, Trawl survey 2",42.95,-49.595
l197," NW Atlantic, Trawl survey 3",43.98,-52.967
l198," NW Atlantic, Trawl survey 4",44.22,-53
l199," NW Atlantic, Trawl survey 5",44.07,-52.917
l200," NW Atlantic, Trawl survey 6",42.97,-49.582
l201," NW Atlantic, Trawl survey 7",43.92,-52.615
l202," NW Atlantic, Trawl survey 8",44.1,-52.918
l203," NW Atlantic, Trawl survey 9",43.7,-52.333
l204," NW Atlantic, Trawl survey 10",43.09,-51.368
l205," NW Atlantic, Trawl survey 11",45.53,-56.664
l206," NW Atlantic, Trawl survey 12",43.43,-51.914
