method_id,method_name,method_description,user_id
3,Archimedes principle,Weighing coral skeleton first in air and then suspended briefly from an analytic balance into freshwater (Graus & MacIntyre 1982,1
4,Callipers,,1
6,Depth gauge,Diving depth gauge measurement.,1
7,Transect tape,,1
8,X-Ray diffraction,,1
15,Image analysis,"Typically revolves around opening an image in ImageJ or Photoshop, setting a scale, and using geometrical tools to measure linear dimensions, outlines, counts or areas.",1
16,Microscopy,Obersvations or measurement made with a microscope,1
19,observation_field,Direct observation in the field,1
21,inferred,,1
22,Derived from textual description,Typically a group opinion that has been derived from text about a coral colony or species.,1
23,Extracted from data table,Usually used when the original data cannot be traced to an original resource or for expert or group opinions that are themselves published as original data.,1
32,Product of linear extension and bulk density,,1
48,Ash free dry weight (AFDW),"Formalin/acid, Dried at 60 degrees C (?)",1
51,DGGE,,1
54,Ruler measurement,,1
78,Growth rate estimated from length-age growth functions,"The age of each sample was estimated using the von Bertalanffy length‚Äìage growth functions, previously obtained for each population based on growth bands analysis by means of computerized tomography (von Bertalanffy 1938",1
mt10,Estimated from known values of size and growth rate,,1
mt11,Measures of colony size on substrata of known age,,1
mt12,Drawing,This methodology typically involves drawing a colony to collect it the following year and measure the growth,1
mt13,14-C bomb-pulse dating,"Typically, growth rates were estimated by counting annual growth rings in association with 14-C bomb-pulse dating",1
mt14,210Pb dating ,"Typically, growth rates were estimated by counting annual growth rings in association with Pb210 dating",1
mt15,14-C dating,"Typically, growth rates were estimated by counting annual growth rings in association with radiocarbon dating",1
mt19,Extracted from regional/global databases of environmental data,,1
mt21,CTD measurements,Measurements obtained using a CTD,1
mt23,Growth rings count using Organic-Matrix-Staining method (OMS) ,,1
mt24,Estimated from known values of age and size,"Growth rates derived from diameter age relationship. Typically, age has been previously calculated using growth rings",1
mt25,Micrometer,Micrometer gauge,1
mt26,Estimated from diameter measurements in colonies of known age,,1
mt29,Estimated from colony height and known values of growth rates in area,Model A relates age and height of colonies based on growth rates obtained from measuring of the increase in the Branch Fan Surface  Area of tagged colonies during yars of study,1
mt30,Estimated from colony height and known values of growth rates in height,Model B relates age and hieght of colonies based on growth rates estimated from measuring the increase in height of colonies over time,1
mt32,Estimated from Branch Fan Surface Ara using a Power growth function,,1
mt33,Estimated from the difference between trunk diameter and axial skeleton diameter,,1
mt34,3D photogrammetric reconstructions,Repeated measurements of total length in 3D mesh models,1
