resource_id,primary_secondary,author,year,title,resource_type,doi_ISBN,resource_journal,resource_volume_pages
r5,primary,"Anderson, E., Castanaro, J., Lasker, H.R. ",2022,"Corrigendum: Colony growth responses of the Caribbean octocoral, Pseudopterogorgia elisabethae, to harvesting. 122, 299–307",article,10.1111/ivb.12359,Invertebrate Biology,"141, 1, e12359"
r6,primary,"Grigg, R.W. ",1974,Growth rings: Annual periodicity in two gorgonian corals,article,10.2307/1934424,,
r7,primary,"Cadena, N. J., & Sánchez, J. A.",2010,Colony growth in the harvested octocoral Pseudopterogorgia acerosa in a Caribbean coral reef,article,10.1111/j.1439-0485.2010.00397.x,,
r8,primary,"Yoshioka, P. M., & Yoshioka, B. B.",1991,A comparison of the survivorship and growth of shallow-water gorgonian species of Puerto Rico,article,10.3354/meps069253,,
r10,primary,"Rey-Villiers, N., & Sánchez, A.",2018,Can organic pollution affect the growth rate of octocorals in the Caribbean?,article,10.4067/S0717-65382018000200166,Gayana,"82(2): 166-170, 2018"
r11,primary,"Manrique-Rodríguez, N., Bejarano-Chavarro, S., & Garzón-Ferreira, J. ",2006," Crecimiento del abanico de mar Gorgonia ventalina  (Linnaeus,  1758)  (Cnidaria:  Gorgoniidae)  en  el  área  de  Santa  Marta,  Caribe  Colombiano.  Boletín  de  Investigaciones Marinas y Costeras 35: 77-90.",article,10.25268/bimc.invemar.2006.35.0.217,Bol. Invest. Mar. Cost. ,"35, 77-90"
r12,primary,"Birkeland, C.",1974, The effect of wave action on the population dynamics of Gorgonia ventalina Linnaeus,article,,Stud. Trop. Oceanogr.,"12, 115-126"
r13,primary,"Kinzie III, R.A. ",1974,Plexaura homomalla: The biology and ecology of a harvestable marine resource,article,,Stud. Trop. Oceanogr.,"12, 22-23"
r14,primary,"Peck, L. S., & Brockington, S.",2013,Growth of the Antarctic octocoral Primnoella scotiae and predation by the anemone Dactylanthus antarcticus,article,10.1016/j.dsr2.2013.01.024,,
r15,primary,"Matsumoto, A.K. ",2007,Effects of low water temperature on growth and magnesium carbonate concentrations in the cold-water gorgonian Primnoa pacifica,article,https://www.ingentaconnect.com/contentone/umrsmas/bullmar/2007/00000081/00000003/art00010,Bulletin of Marine Science -Miami,81(3):423-435
r16,primary,"Andrews, A. H., Cordes, E. E., Mahoney, M. M., Munk, K., Coale, K. H., Cailliet, G. M., & Heifetz, J.",2002,"Age, growth and radiometric age validation of a deep-sea, habitat-forming gorgonian (Primnoa resedaeformis) from the Gulf of Alaska",article,10.1023/A:1016501320206,,
r17,primary,"Risk, M. J., Heikoop, J. M., Snow, M. G., & Beukens, R. ",2002,Lifespans and growth patterns of two deep-sea corals: Primnoa resedaeformis and Desmophyllum cristagalli ,article,10.1023/A:1016557405185,,
r18,primary,"Druffel, E. R., King, L. L., Belastock, R. A., & Buesseler, K. O. ",1990,Growth rate of a deep-sea coral using 210Pb and other isotopes,article,10.1016/0016-7037(90)90174-J,,
r19,secondary,"Andrews, A. H., Cailliet, G. M., Kerr, L. A., Coale, K. H., Lundstrom, C., & DeVogelaere, A. P.",2005,Investigations of age and growth for three deep- sea corals from the Davidson Seamount off central California ,book chapter,10.1007/3-540-27673-4_51,"A. Freiwald and J. M. Roberts, eds. Cold-water corals and ecosystems. Springer-Verlag, Berlin Heidelberg.",1021–1038 
r20,primary,"Roark, E. B., Guilderson, T. P., Dunbar, R. B., & Ingram, B. L. ",2006,Radiocarbon Based Ages and Growth Rates: Hawaiian Deep Sea Corals,article,10.3354/meps327001,,
r21,primary,"Mortensen, P. B., & Buhl-Mortensen, L.",2005,Morphology and growth of the deep-water gorgonians Primnoa resedaeformis and Paragorgia arborea,article,10.1007/s00227-005-1604-y,,
r22,primary,"Aranha, R., Edinger, E., Layne, G., & Piercey, G.",2014,Growth rate variation and potential paleoceanographic proxies in Primnoa pacifica:Insights from high-resolution trace element microanalysis,article,10.1016/j.dsr2.2013.07.001,,
r23,primary,"Sherwood, O. A., & Edinger, E. N.",2009,Ages and growth rates of some deep-sea gorgonian and antipatharian corals of Newfoundland and Labrador,article,10.1139/F08-195,,
r24,primary,"Weinberg, S. & Weinberg, F. ",1979,"The life cycle of a gorgonian: Eunicella singularis (Esper, 1794)",article,10.1163/26660644-04802003,Bijdragen tot de dierkunde,"48(2), 127–137."
r25,primary,"Gomez, C. G., Guzman, H. M., Gonzalez, A., & Breedy, O. ",2014,"Survival, growth, and recruitment of octocoral species (Coelenterata: Octocorallia) in Coiba National Park, Pacific Panama",article,10.5343/bms.2012.1092,,
r26,primary,"Munari, C., Serafin, G., & Mistri, M.",2013,"Structure, growth and secondary production of two Tyrrhenian populations of the white gorgonian Eunicella singularis (Esper 1791)",article,10.1016/j.ecss.2013.01.007,,
r27,primary,"Mistri, M., & Ceccherelli, V. U.",1994,Growth and secondary production of the Mediterranean gorgonian Paramuricea clavata,article,10.3354/meps103291,,
r28,primary,"Coma, R., Ribes, M., Zabala, M., & Gili, J. M.",1998,Growth in a Modular Colonial Marine Invertebrate,article,10.1006/ecss.1998.0375,,
r29,primary,"Mistri, M., & Ceccherelli, V. U.",1993,"Growth of the Mediterranean Gorgonian Lophogorgia ceratophyta (L., 1758)",article,10.1111/j.1439-0485.1993.tb00004.x,,
r30,primary,"Mistri, M.",1995,Population Structure and Secondary Production of the Mediterranean Octocoral Lophogorgia ceratophyta (L. 1758),article,10.1111/j.1439-0485.1995.tb00404.x,,
r31,primary,"Bramanti, L., Magagnini, G., De Maio, L., & Santangelo, G. ",2005,"Recruitment, early survival and growth of the Mediterranean red coral Corallium rubrum (L 1758), a 4-year study",article,10.1016/j.jembe.2004.08.029,,
r32,primary,"Garcia-Rodriguez, M. & Masso, C.",1986,Estudio biometrico de poblaciones de coral rojo del litoral de Gerona.,article,,Boletín del Instituto Español de Oceanografía,"3, 65-74"
r33,primary,"Abbiati, M., Buffoni, G., Caforio, G., Di Cola, G., & Santangelo, G.",1992,"Harvesting, predation and competition effects on a red coral population",article,10.1016/0077-7579(92)90060-R,,
