specie_id,master_species,family_molecules,synonym_species,,aphia_ID
s1,Annella mollis,Subergorgiidae,,,288002
s2,Subergorgia suberosa,Subergorgiidae,,,288010
s3,Annella reticulata,Subergorgiidae,,,288008
s4,Antillogorgia elisabethae,Gorgoniidae,,,708862
s5,Paramuricea clavata,Paramuriceidae,,,125387
s6,Eunicella singularis,Eunicellidae,,,125365
s7,Eunicella cavolini,Eunicellidae,,,125361
s8,Eunicella verrucosa,Eunicellidae,,,125366
s9,Muricea californica,Plexauridae,,,287556
s10,Muricea fruticosa,Plexauridae,,,287562
s11,Antillogorgia acerosa,Gorgoniidae,,,290888
s12,Antillogorgia rigida,Gorgoniidae,,,708867
s13,Antillogorgia americana,Gorgoniidae,,,708859
s14,Eunicea flexuosa,Plexauridae,,,367817
s15,Pseudoplexaura wagenaari,Plexauridae,,,290882
s16,Pseudoplexaura porosa,Plexauridae,,,290881
s17,Gorgonia ventalina,Gorgoniidae,,,290045
s18,Plexaura homomalla,Plexauridae,,,290797
s19,Plexaura kuekenthali,Plexauridae,,,290798
s20,Eunicea tourneforti,Plexauridae,,,283263
s21,Eunicea laxispica,Plexauridae,,,283251
s22,Eunicea succinea,Plexauridae,,,283262
s23,Muriceopsis flavida,Pterogorgiidae,,,290417
s24,Plexaurella dichotoma,Plexaurellidae,,,290812
s25,Primnoella scotiae,Primnoidae,,,286549
s26,Primnoa pacifica,Primnoidae,,,286539
s27,Primnoa resedaeformis,Primnoidae,,,125411
s28,Hemicorallium niobe,Coralliidae,,,125415
s32,Paragorgia arborea,Coralliidae,,,125418
s33,Acanella arbuscula,Keratoisididae,,,125371
s34,Keratoisis grayi,Keratoisididae,,,125376
s36,Gorgonia flabellum,Gorgoniidae,,,290029
s37,uncertain taxon_Lophogorgia ceratophyta,Gorgoniidae,,,1564496
s38,Leptogorgia alba,Gorgoniidae,,,286209
s39,Pacifigorgia irene,Gorgoniidae,,,517756
s40,Psammogorgia arbuscula,Gorgoniidae,,,290855
s41,Muricea austera,Plexauridae,,,2875555
s42,Corallium rubrum,Coralliidae,,,125416
s43,Briareum asbestinum,Briareidae,,,289534
s44,Iciligorgia schrammi,Melithaeidae,,,290178
s45,Diodogorgia nodulifera,Spongiodermidae,,,288872
s46,Erythropodium caribaeorum,Erythropodiidae,,,289919
s47,uncertain taxon_Lignella richardii,Keroeididae,,,290289
s48,Swiftia exserta,Plexauridae,,,286416
s49,Plexaura nina,Plexauridae,,,290802
s50,Pseudoplexaura tenuis,Plexauridae,,,1548316
s51,Eunicea pinta,Plexauridae,,,283258
s52,Eunicea mammosa,Plexauridae,,,283254
s53,Eunicea fusca,Plexauridae,,,283242
s54,Eunicea laciniata,Plexauridae,,,283250
s55,Eunicea clavigera,Plexauridae,,,283238
s56,Muriceopsis petila,Pterogorgiidae,,,190418
s57,Plexaurella nutans,Plexaurellidae,,,290819
s58,Plexaurella grisea,Plexaurellidae,,,290815
s59,Muricea laxa,Plexauridae,,,287567
s60,Muricea muricata,Plexauridae,,,287569
s61,Muricea atlantica,Plexauridae,,,287554
s62,Antillogorgia bipinnata,Gorgoniidae,,,708860
s63,Gorgonia mariae,Gorgoniidae,,,290032
s64,Pterogorgia anceps,Pterogorgiidae,,,290922
s65,Pterogorgia citrina,Pterogorgiidae,,,290925
s66,Pterogorgia guadalupensis,Pterogorgiidae,,,290927
s67,Ellisella elongata,Ellisellidae,,,520722
s68,Calcigorgia spiculifera,Malacalcyonacea_incertae_sedis,,,378316
S69,Callogorgia compressa,Primnoidae,,,289948
s70,Isidella tentaculum,Keratoisididae,,,582522
s71,Fannyella (Scyphogorgia) abies,Primnoidae,,,743429
s72,Fannyella (Fannyella) rossii,Primnoidae,,,409519
s73,Thouarella (Thouarella) variabilis,Primnoidae,,,286574
s79,Pleurocorallium secundum,Coralliidae,,,1311288
s80,Isis hippuris,Isididae,,,290211
s81,Pteronisis incerta,Mopseidae,,,290937
s83,Echinisis spicata,Mopseidae,,,173316
s85,Umbellula encrinus,Umbellulidae,,,128529
s86,Dendronephthya hemprichi,Nephtheidae,,,213027
s88,Alcyonium acaule,Alcyoniidae,,,125331
s89,Leptogorgia sarmentosa,Gorgoniidae,,,125369
s90,Junceella fragilis,Ellisellidae,,,289188
s91,Heliopora coerulea,Helioporidae,,,210725
s92,Melithaea japonica,Melithaeidae,,,746501
s93,Anthoptilum grandiflorum,Anthoptilidae,,,128504
s94,Balticina finmarchica,Balticinidae,,,584787
s95,Pennatula aculeata,Pennatulidae,,,128515
s96,Ptilella grandis,Pennatulidae,,,1379630
s97,Leptogorgia virgulata,Gorgoniidae,,,158288
