standard_id,standard_name,units,standard_class,standard_description
10,Category,cat,Nominal class,
9,Length,m,Base unit,
6,Count,units,Base unit,
38,Extension rate,mm yr^-1,Complex derived unit,
29,Length,cm,Base unit,
61,Year,year,Datetime,"The year an observation took place (e.g., 2015)."
62,Extension rate,mm month^-1,Complex derived unit,Length per change per month.
52,Degrees Celsius,°C,Base unit,
30,Percent,%,Simple derived unit,
st1,Percent (weight),g %,Simple derived unit,
st2,mol percent ,mol %,Simple derived unit,
2,Binomial,bin,Nominal class,
28,Length,mm,Base unit,
47,Density,units cm^-2,Complex derived unit,
st5,Extension rate,μm yr^-1,,
st6,Extension rate,cm yr^-1,,
88,Date (dd/mm/yyyy),date,Datetime,
st7,Speed,cm min^-1,,
st8,Extension rate,cm month^-1,,
33,Duration,years,Base unit,
45,Density,mg cm^-2,Complex derived unit,Weight per unit area.
st9,Speed,cm s^-1,Simple derived unit,
39,Length,µm,Base unit,Micrometer
st10,Density,µM kg-1,Complex derived unit,
70,permil,0/00,Simple derived unit,
6,Count,units,Base unit,
40,Ordered category,rank,Ordered class,
st11,Density,oocytes colony^-1,,
64,Month,month,,
2,Binomial,bin,Nominal class,
79,Area,cm^2,Simple derived unit,
st12,Extension rate (area),BFSA% yr^-1,,Branch Fan Surface Area
st13,Extension rate (area),cm^2 yr^-1,,
st14,Speed,m s^-1,,
34,Density,g cm^-3,Complex derived unit,
43,Rate,g cm ^-2 yr^-1,Complex derived unit,
st15,Extension rate,mm week^-1,,
27,Duration,days,Base unit,
63,Extension rate,mm d^-1,Complex derived unit,
26,Duration,months,Base unit,
41,Identifier,id,Index,
st17,Extension rate,cm 11months^-1,,
st18,Extension rate,cm week^-1,,
st19,Extension rate,cm 6months^-1,,
st20,Extension rate,cm 230d^-1,,
st21,Extension rate (area),cm^2 230d^-1,,
st23,Extension rate (area),cm^2 month^-1,,
st24,Extension rate (area),mm^2 d^-1,,
st25,Planar area,mm^2 ,,
st30,Extension rate (area),mm^2 per 4 months^-1,,
st31,Extension rate (polyps),polyps year^-1,,
st32,Density,larvae cm^2 ,,
st33,volume,cm^3,,
st34,Weight gain rate,g year^-1,,
st35,Extension rate (polyps),polyps d^-1,,
st36,Density,oocytes cm^-1,,
st37,Density,oocytes per 10mm^-1,,
st38,Volume,µm^3 of ooctyes polyp^-1,,
st39,density,Larvae colony^-1,,
66,Ratio,x:y,,
st40,Length,ft,,
st41,Length,in.,,
st42,Length,fm,,fathoms
st43,Density,Larvae polyp^-1,,
st44,Density,units cm^-1,,
st45,Density,units mm^-1,,
st48,Density,units 3cm^-1,,
st49,Density,units 2cm^-1,,
st51,Rate,% wt month^-1,,weight gained per month
st52,Rate,ng live_POC polyp^-1 d^-1,,
st53,Rate,ng detrital_POC polyp^-1 d^-1,,
st54,Rate,prey polyp^-1 d^-1,,
st55,Rate,µm polyp^-1 d^-1,,
st56,Rate,prey polyp^-1 h^-1,,
st57,Rate,µmC polyp^-1 h^-1,,
st58,Rate,µmN polyp^-1 h^-1,,
st59,Mass (dry weight),g,,
st60,Rate,µgC polyp^-1 d^-1,,
st61,Rate,µgN polyp^-1 d^-1,,
st62,Rate,prey colony^-1 h^-1,,
st63,Density,units 10^3 polyp^-1,,
st64,Rate,µg O2 g^-1 wet colony weight h^-1,,
st65,Rate,µg C g^-1 dry colony weight d^-1,,
st66,Rate,mg O2 g^-1 wet colony weight h^-1,,
st67,Rate,mg C g^-1 dry colony weight d^-1,,
st68,Rate,cells polyp^-1 h^-1,,
st69,Rate, µgC polyp^-1 h^-1,,
st70,Rate,ng C polyp^-1 h^-1,,
st71,Density,cell ml^-1,,
st72,Rate,prey polyp^-1 15 min^-1,,
st73,Rate, µg chlorophyll polyp^-1 h^-1,,
st74,Mass (ash free dry weight), g AFDW ,,
st76,Rate,ng C polyp^-1 d^-1,,
st77,Density,units cm^-2 10^6,,
st80,Ratio,mmol/mol,,
st81,Rate,µg Ca mg N^-1 h^-1,,
st82,Ratio,mol:mol,,
st83,Force,GN m^-2,,
st84,Rate, µgmol CaCO3 cm^-2 d^-1,,
st85,Rate,nmol mg_protein^-1 d^-1,,
st86,Density,units 10 cm^-1,,
st89,Force,G dynes cm^-2,,
st90,Ratio,Ca2+ wt: dry wt,,
st91,Ratio,Mg2+ wt: dry wt,,
st92,Ratio,mol % in MgCa(CO3) 2 ,,
st93,Ratio,mmol Ca2+ g^-1 dry wt,,
st94,Density,mm^3 of oocytes polyp^-1,,
