trait_name, standard_id, traitclass_id, trait_description, user_id, id,Editor,trait_editor_id
Sexual system,10,Reproductive,Each polyp of the population having gametes of only one sex (either male or female) at maturity (gonochore),,8,N. Viladrich,4
Mode of larval development,10,Reproductive,"The mode of larval development classified as either a brooder, where fertilization is internal and colonies release planulae larvae, or a broadcast spawner, where gametes are release for external fertilization and the planulae develops in the plankton.",,5,N. Viladrich,4
Oocyte size at maturity,39,Reproductive,The diameter of mature oocytes in a population. Determined by histology or dissection or measuring the size of eggs once released from the colony in broadcast spawners.,,11,N. Viladrich,4
Polyp fecundity,6,Reproductive,The number OR VOLUME of eggs (oocytes) OR LARVAE in a polyp.,,12,N. Viladrich,4
Ocean basin,10,Geographical,"The ocean basin in which a species is found. Indian and Pacific Oceans are grouped as ""pacific.""",,40,C. Linares,2
Zooxanthellate,10,Physiological,Is the species zooxanthellate?,,41,C. S. McFadden,6
Size at maturity,29,Reproductive,"The colony size, typically diameter, at which a coral is observed to start producing gametes and reproducing.",,46,N. Viladrich,4
Age at maturity,33,Reproductive,The age at which a coral is observed to start producing gametes and spawning.,,47,N. Viladrich,4
Growth rate,38,Physiological,"Typically, the yearly extension for branching and massive corals, or simple linear extension. Growth rate is sometimes measured using different dimensions (e.g., diameter and radius) or over shorter periods of time (e.g., month), which are indicated by measurement standards and methodologies, and so values may need to be standardised before comparisons among measurements can be made.",,60,D. Gómez-Gras,1
Skeletal density,34,Biomechanical,The material density of coral skeleton. Porosity measurements can be converted to density by multiplying the reciprocal of porosity by the maximum density of aragonite (2.94 g cm^-3).,,61,N. Viladrich,4
Depth upper,9,Ecological,The minimum (shallowest) observed depth of a species. Data are a mix of individual-level local observations and species-level global estimates based on expert opinion.,,91,A. Gori,3
Depth lower,9,Ecological,The maximum (deepest) observed depth of a species. Data are a mix of individual-level local observations and species-level global estimates based on expert opinion.,,92,A. Gori,3
Coloniality,10,Morphological,"Whether mature individuals of a species are colonial, solitary or either colonial or solitary (both).",,104,Y. Zentner,5
Wave exposure preference,10,Ecological,"Preferred hydrodynamic exposure environment. Derived from preferred habitat textual descriptions, mostly from Veron and Stafford-Smith (2002), and published in Diaz and Madin (2011).",,96,K. E. Fabricius,7
Water clarity preference,10,Ecological,"Preferred water clarity environment. Derived from preferred habitat textual descriptions, mostly from Veron and Stafford-Smith (2002), and published in Diaz and Madin (2011).",,97,K. E. Fabricius,7
Calcification rate,,Physiological,"The rate at which CaCO3 (i.e., aragonite or calcite) is laid down per unit of skeletal surface area. When using this data, be aware that this trait is measured in numerous ways.",,127,A. Gori,3
Symbiodinium clade,10,Physiological,"The genetic identity of Symbiodinium found in coral tissue at the clade level (broad level of major symbiont taxa). This is typically identified using regions of the nuclear ribosomal DNA, but other regions are also used.",,128,D. Gómez-Gras,1
Tissue thickness,28,Physiological,The distance from the external surface to the internal surface of the coral tissue.,,132,D. Gómez-Gras,1
Water depth,9,Contextual,The water depth at which a coral trait was measured.,,143,D. Gómez-Gras,1
Polyp density,st44,Morphological,The number of polyps per length or area units.,,t85,D. Gómez-Gras,1
Total biomass,45,Stoichiometric,"The dry weight of holobiont tissue, typically reported as mass per unit of skeletal surface area of a colony.",,150,C. Linares,2
Water temperature,52,Contextual,Water temperature is a contextual trait of the environment in which a coral trait is measured.,,152,D. Gómez-Gras,1
Colony area,79,Morphological,The size of a colony. Typically associated with a trait that is expected to vary with colony size. The default is planar projected area.,,155,D. Gómez-Gras,1
Larval swimming speed,58,Reproductive,"The swimming speed, typically the maximum, of coral larvae.",,169,N. Viladrich,4
Year,61,Contextual,The year in which an observation took place. The month or season in which an observation took place should be added separately.,,174,D. Gómez-Gras,1
Propagule size on release,39,Reproductive,The size of eggs or planula larvae on release.,,184,N. Viladrich,4
Month,64,Contextual,The month of the year in which an observation took place. The year in which an observation took place should be added separately (Trait ID: 174).,,185,D. Gómez-Gras,1
Dissolved oxygen concentration,st10,Contextual,,,192,D. Gómez-Gras,1
Phosphate concentration,st10,Contextual,,,193,D. Gómez-Gras,1
Salinity,70,Contextual,,,194,D. Gómez-Gras,1
Colony bleached,2,Contextual,If measurements were taken of a bleached colony,,203,D. Gómez-Gras,1
Growth form,,Morphological,"The growth form of a coral colony measured in the field or during an experiment. The range of growth form categories is not constrained (i.e., growth forms should be named as they were in the original resource or dataset), and therefore the number of categories will become large.",,206,D. Gómez-Gras,
Colony fecundity,,Reproductive,Total colony fecundity was estimated as the sum of egg and testes volume per polyp multiplied by the total number of polyps,,216,N. Viladrich,4
Spawning date,88,Reproductive,The date a coral colony was observed to spawn.,,237,N. Viladrich,4
Type of branch,10,Contextual,The type of branch (new) or (old) can affect the growth rate,,t2,D. Gómez-Gras,1
Number of clipped branches,6,Contextual,"The number of branches that have been clipped in a colony to simulate mortality, which potentially affects growth rates",,t3,D. Gómez-Gras,1
Colony height,29,Morphological,The height of a coral colony (or individual) from the bottom to the top.,,t6,Y. Zentner,5
Colony width,29,Morphological,The width of a coral colony (or individual).,,t131,Y. Zentner,5
Colony age,33,Physiological,The age of the colony at the time of measurement and/or dead.,,t7,D. Gómez-Gras,1
Branch order,10,Contextual,The order of the branch may affect growth rate,,t8,D. Gómez-Gras,1
Pollution level,10,Contextual,Pollution may affect growth rates of species,,t9,D. Gómez-Gras,1
MgCO3 concentration in sclerites,st2,Biomechanical,The concentration of MgCO3 in sclerites ,,t10,D. Gómez-Gras,1
Calcareous sclerites presence,2,Biomechanical,Whether species have calcareous sclerites or not. The presence or absence of calcareous sclerites determines some of the most important features of octocorals skeletons,,t11,C. S. McFadden,6
Trunk diameter,,Morphological,"Diameter of the basal trunk in octocorals, including both axis skeleton and tissue. For simplicity, we use the word trunk to refer also to stems, stalks and rods. ",,t13,Y. Zentner,5
Larval length,39,Reproductive,The length of the larvae,,t15,N. Viladrich,4
Larval width,39,Reproductive,The width of the larvae,,t16,N. Viladrich,4
Flow rate,96,Contextual,Flow rate is a contextual trait of the environment in which a coral trait is measured.,,154,D. Gómez-Gras,1
Branch age class,10,Contextual,"In organisms with determinate modular growth, the age of branches may influence their growth",,t19,D. Gómez-Gras,1
Silicate concentration,st10,Contextual,,,t20,D. Gómez-Gras,1
pH,6,Contextual,,,t21,D. Gómez-Gras,1
